haar,haar_d,dabu5,daub5_d,symlet,symlet_d,coiff5,coiff5_d,daub2,daub2_d,daub4,daub4_d,daub6,daub6_d,daub8,daub8_d,daub10,daub10,daub12,daub12,daub14,daub14_d,daub16,daub16_d,daub18,daub18_d,daub20,daub20_d,daub3,daub3_d,coiff3,coiff3_d
0.707106781,0.707106781,0.160102398,0.003335725,0.019538883,0.027333068,-0.000212081,-9.52E-08,0.482962901,-0.129409523,0.230377813,-0.010597402,0.111540743,-0.001077301,0.054415842,-0.000117477,0.026670058,-1.33E-05,0.013112258,-1.53E-06,0.006461153,-1.79E-07,0.003189221,-2.11E-08,0.00157631,-2.51E-09,0.000779954,-3.00E-10,0.332670553,0.035226292,-0.003793513,-3.46E-05
0.707106781,-0.707106781,0.60382927,0.012580752,-0.021101834,-0.029519491,0.00035859,1.67E-07,0.836516303,-0.224143868,0.714846571,-0.032883012,0.49462389,-0.004777258,0.312871591,-0.000675449,0.1881768,-9.36E-05,0.109566273,-1.28E-05,0.062364759,-1.72E-06,0.034907714,-2.31E-07,0.019288532,-3.07E-08,0.010549395,-4.06E-09,0.806891509,0.085441274,0.007782596,7.10E-05
,,0.724308528,-0.00624149,-0.17532809,-0.039134249,0.002178236,2.06E-06,0.224143868,0.836516304,0.630880768,0.030841382,0.751133908,0.000553842,0.675630736,-0.00039174,0.527201189,-0.000116467,0.377355135,-2.42E-05,0.254850268,-4.39E-06,0.165064283,-7.36E-07,0.103588466,-1.18E-07,0.06342378,-1.81E-08,0.459877502,-0.13501102,0.023452696,0.000466217
,,0.138428146,-0.077571494,0.016602106,-0.199397534,-0.004159359,-3.73E-06,-0.129409522,-0.482962913,-0.027983769,0.187034812,0.315250352,0.031582039,0.585354684,0.004870353,0.688459039,0.000685857,0.657198723,8.85E-05,0.554305618,1.03E-05,0.430312723,1.04E-06,0.314678941,7.69E-08,0.219942114,-2.01E-10,-0.13501102,-0.459877502,-0.065771911,-0.001117519
,,-0.242294887,-0.03224487,0.633978963,0.72340769,-0.010131118,-2.13E-05,,,-0.187034812,-0.027983769,-0.226264694,0.027522866,-0.015829105,0.008746094,0.281172344,0.001992405,0.515886478,0.000388653,0.631187849,6.88E-05,0.637356332,1.13E-05,0.571826808,1.77E-06,0.472696185,2.63E-07,-0.085441274,0.806891509,-0.06112339,-0.002574518
,,-0.03224487,0.242294887,0.72340769,-0.633978963,0.023408157,4.13E-05,,,0.030841382,-0.630880768,-0.129766868,-0.097501606,-0.284015543,-0.013981028,-0.249846424,-0.001395352,-0.044763886,-6.55E-06,0.218670688,4.18E-05,0.440290257,1.39E-05,0.571801655,3.33E-06,0.610493239,6.85E-07,0.035226292,-0.332670553,0.405176902,0.009007976
,,0.077571494,0.138428146,0.199397534,0.016602106,0.028168029,0.000140541,,,0.032883012,0.714846571,0.097501606,-0.129766868,0.000472485,-0.044088254,-0.195946274,-0.010733175,-0.316178454,-0.002179504,-0.271688552,-0.000386832,-0.089751089,-6.10E-05,0.147223112,-8.52E-06,0.361502299,-1.01E-06,,,0.793777223,0.015880545
,,-0.00624149,-0.724308528,-0.039134249,0.17532809,-0.091920011,-0.00030226,,,-0.010597402,-0.230377813,0.027522866,0.226264694,0.128747427,0.017369301,0.12736934,-0.003606554,-0.023779257,-0.002248607,-0.21803353,-0.000708021,-0.327063311,-0.000174787,-0.293654041,-3.74E-05,-0.139212088,-7.24E-06,,,0.428483476,-0.034555028
,,-0.012580752,0.60382927,0.029519491,-0.021101834,-0.052043163,-0.000638131,,,,,-0.031582039,0.315250352,-0.017369301,0.128747427,0.093057365,0.033212674,0.182478606,0.006711499,0.138395214,0.001061691,-0.027918208,0.000114242,-0.216480934,-1.54E-07,-0.3267868,-4.38E-06,,,-0.071799822,-0.082301927
,,0.003335725,-0.160102398,0.027333068,-0.019538883,0.421566207,0.001662864,,,,,0.000553842,-0.751133908,-0.044088254,-0.000472485,-0.071394147,0.029457537,0.00535957,0.012840825,0.139989017,0.003849639,0.211190694,0.000941022,0.149533976,0.000198649,-0.016727088,3.71E-05,,,-0.082301927,0.071799822
